Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
I16442	I16442_ERS8208601	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16442_ERS8208601_L1_R1.fastq.gz	NA	NA	ERR7195306.fastq.gz	NA
I16441	I16441_ERS8208599	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16441_ERS8208599_L1_R1.fastq.gz	NA	NA	ERR7195304.fastq.gz	NA
I16444	I16444_ERS8208604	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16444_ERS8208604_L1_R1.fastq.gz	NA	NA	ERR7195309.fastq.gz	NA
I16458	I16458_ERS8208620	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16458_ERS8208620_L1_R1.fastq.gz	NA	NA	ERR7195325.fastq.gz	NA
I16456	I16456_ERS8208615	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16456_ERS8208615_L1_R1.fastq.gz	NA	NA	ERR7195320.fastq.gz	NA
I16454	I16454_ERS8208611	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16454_ERS8208611_L1_R1.fastq.gz	NA	NA	ERR7195316.fastq.gz	NA
I16458	I16458_ERS8208619	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16458_ERS8208619_L1_R1.fastq.gz	NA	NA	ERR7195324.fastq.gz	NA
I16455	I16455_ERS8208613	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16455_ERS8208613_L1_R1.fastq.gz	NA	NA	ERR7195318.fastq.gz	NA
I16453	I16453_ERS8208610	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16453_ERS8208610_L1_R1.fastq.gz	NA	NA	ERR7195315.fastq.gz	NA
I16454	I16454_ERS8208612	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16454_ERS8208612_L1_R1.fastq.gz	NA	NA	ERR7195317.fastq.gz	NA
