Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
CGG021494	CGG021494_CGG021494	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG021494_CGG021494_L1_R1.fastq.gz	NA	NA	ERR14752076.fastq.gz	NA
CGG021495	CGG021495_CGG021495	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG021495_CGG021495_L1_R1.fastq.gz	NA	NA	ERR14752077.fastq.gz	NA
CGG021500	CGG021500_CGG021500	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG021500_CGG021500_L1_R1.fastq.gz	NA	NA	ERR14752081.fastq.gz	NA
CGG021502	CGG021502_CGG021502	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG021502_CGG021502_L1_R1.fastq.gz	NA	NA	ERR14752082.fastq.gz	NA
CGG021504	CGG021504_CGG021504	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG021504_CGG021504_L1_R1.fastq.gz	NA	NA	ERR14752084.fastq.gz	NA
CGG021735	CGG021735_CGG021735	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG021735_CGG021735_L1_R1.fastq.gz	NA	NA	ERR14752086.fastq.gz	NA
CGG021839	CGG021839_CGG021839	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG021839_CGG021839_L1_R1.fastq.gz	NA	NA	ERR14752092.fastq.gz	NA
CGG021897	CGG021897_CGG021897	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG021897_CGG021897_L1_R1.fastq.gz	NA	NA	ERR14752096.fastq.gz	NA
CGG021899	CGG021899_CGG021899	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG021899_CGG021899_L1_R1.fastq.gz	NA	NA	ERR14752098.fastq.gz	NA
CGG021902	CGG021902_CGG021902	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG021902_CGG021902_L1_R1.fastq.gz	NA	NA	ERR14752099.fastq.gz	NA
CGG021908	CGG021908_CGG021908	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG021908_CGG021908_L1_R1.fastq.gz	NA	NA	ERR14752100.fastq.gz	NA
CGG021913	CGG021913_CGG021913	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG021913_CGG021913_L1_R1.fastq.gz	NA	NA	ERR14752103.fastq.gz	NA
CGG021916	CGG021916_CGG021916	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG021916_CGG021916_L1_R1.fastq.gz	NA	NA	ERR14752104.fastq.gz	NA
CGG021918	CGG021918_CGG021918	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG021918_CGG021918_L1_R1.fastq.gz	NA	NA	ERR14752106.fastq.gz	NA
CGG021963	CGG021963_CGG021963	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG021963_CGG021963_L1_R1.fastq.gz	NA	NA	ERR14752115.fastq.gz	NA
CGG022000	CGG022000_CGG022000	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022000_CGG022000_L1_R1.fastq.gz	NA	NA	ERR14752121.fastq.gz	NA
CGG022031	CGG022031_CGG022031	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022031_CGG022031_L1_R1.fastq.gz	NA	NA	ERR14752128.fastq.gz	NA
CGG022041	CGG022041_CGG022041	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022041_CGG022041_L1_R1.fastq.gz	NA	NA	ERR14752129.fastq.gz	NA
CGG022053	CGG022053_CGG022053	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022053_CGG022053_L1_R1.fastq.gz	NA	NA	ERR14752132.fastq.gz	NA
CGG022099	CGG022099_CGG022099	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022099_CGG022099_L1_R1.fastq.gz	NA	NA	ERR14752133.fastq.gz	NA
CGG022103	CGG022103_CGG022103	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022103_CGG022103_L1_R1.fastq.gz	NA	NA	ERR14752134.fastq.gz	NA
