Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
I15515	I15515_I15515	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15515_I15515_L1_R1.fastq.gz	NA	NA	ERR12121140.fastq.gz	NA
I15516	I15516_I15516	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15516_I15516_L1_R1.fastq.gz	NA	NA	ERR12121142.fastq.gz	NA
I15517	I15517_I15517	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15517_I15517_L1_R1.fastq.gz	NA	NA	ERR12121144.fastq.gz	NA
I15518	I15518_I15518	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15518_I15518_L1_R1.fastq.gz	NA	NA	ERR12121146.fastq.gz	NA
I15519	I15519_I15519	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15519_I15519_L1_R1.fastq.gz	NA	NA	ERR12121148.fastq.gz	NA
I15520	I15520_I15520	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15520_I15520_L1_R1.fastq.gz	NA	NA	ERR12121150.fastq.gz	NA
I15521	I15521_I15521	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15521_I15521_L1_R1.fastq.gz	NA	NA	ERR12121152.fastq.gz	NA
I15522	I15522_I15522	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15522_I15522_L1_R1.fastq.gz	NA	NA	ERR12121154.fastq.gz	NA
I15523	I15523_I15523	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15523_I15523_L1_R1.fastq.gz	NA	NA	ERR12121156.fastq.gz	NA
I15524	I15524_I15524	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15524_I15524_L1_R1.fastq.gz	NA	NA	ERR12121158.fastq.gz	NA
I15525	I15525_I15525	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15525_I15525_L1_R1.fastq.gz	NA	NA	ERR12121160.fastq.gz	NA
I15526	I15526_I15526	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15526_I15526_L1_R1.fastq.gz	NA	NA	ERR12121162.fastq.gz	NA
I15527	I15527_I15527	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15527_I15527_L1_R1.fastq.gz	NA	NA	ERR12121164.fastq.gz	NA
I15528	I15528_I15528	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15528_I15528_L1_R1.fastq.gz	NA	NA	ERR12121166.fastq.gz	NA
