Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
CZY4652	CZY4652_CZY4652	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/CZY4652_CZY4652_L1.bam	NA	NA	HRR1956797.bam
CZY4653	CZY4653_CZY4653	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/CZY4653_CZY4653_L1.bam	NA	NA	HRR1956798.bam
CZY4654	CZY4654_CZY4654	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/CZY4654_CZY4654_L1.bam	NA	NA	HRR1956799.bam
CZY4656	CZY4656_CZY4656	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/CZY4656_CZY4656_L1.bam	NA	NA	HRR1956800.bam
CZY4657	CZY4657_CZY4657	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/CZY4657_CZY4657_L1.bam	NA	NA	HRR1956801.bam
FJ4777	FJ4777_FJ4777	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/FJ4777_FJ4777_L1.bam	NA	NA	HRR1956802.bam
FJ4778	FJ4778_FJ4778	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/FJ4778_FJ4778_L1.bam	NA	NA	HRR1956803.bam
FJ4779	FJ4779_FJ4779	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/FJ4779_FJ4779_L1.bam	NA	NA	HRR1956804.bam
GS1689_k	GS1689_k_GS1689_k	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/GS1689_k_GS1689_k_L1.bam	NA	NA	HRR1956805.bam
GS1691	GS1691_GS1691	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/GS1691_GS1691_L1.bam	NA	NA	HRR1956806.bam
GS1693	GS1693_GS1693	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/GS1693_GS1693_L1.bam	NA	NA	HRR1956807.bam
HL4785	HL4785_HL4785	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/HL4785_HL4785_L1.bam	NA	NA	HRR1956808.bam
HL4786	HL4786_HL4786	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/HL4786_HL4786_L1.bam	NA	NA	HRR1956809.bam
HL4788_o	HL4788_o_HL4788_o	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/HL4788_o_HL4788_o_L1.bam	NA	NA	HRR1956810.bam
LJZ4592	LJZ4592_LJZ4592	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/LJZ4592_LJZ4592_L1.bam	NA	NA	HRR1956811.bam
LJZ4593	LJZ4593_LJZ4593	1	4	SE	Homo sapiens (modern human)	double	half	NA	NA	<PATH_TO_DATA>/LJZ4593_LJZ4593_L1.bam	NA	NA	HRR1956812.bam
