Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
KOS027	KOS027_utigKOS027   	1		SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS027_utigKOS027_R1.fastq.gz	NA	NA	ERR13189842.fastq.gz	NA
KOS032	KOS032_utigKOS032   	1		SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS032_utigKOS032_R1.fastq.gz	NA	NA	ERR13189844.fastq.gz	NA
KOS035A	KOS035A_utigKOS035A  	1		SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS035A_utigKOS035A_R1.fastq.gz	NA	NA	ERR13189847.fastq.gz	NA
KOS039	KOS039_utigKOS039   	1		SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/KOS039_utigKOS039_R1.fastq.gz	NA	NA	ERR13189850.fastq.gz	NA
WPK001A	WPK001A_utigWPK001A  	1		SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/WPK001A_utigWPK001A_R1.fastq.gz	NA	NA	ERR13189851.fastq.gz	NA
WPK002	WPK002_utigWPK002   	1		SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/WPK002_utigWPK002_R1.fastq.gz	NA	NA	ERR13189852.fastq.gz	NA
WPK003	WPK003_utigWPK003   	1		SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/WPK003_utigWPK003_R1.fastq.gz	NA	NA	ERR13189853.fastq.gz	NA
WPK005	WPK005_utigWPK005   	1		SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/WPK005_utigWPK005_R1.fastq.gz	NA	NA	ERR13189855.fastq.gz	NA
OLV038	OLV038_utigOLV038   	1		SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/OLV038_utigOLV038_R1.fastq.gz	NA	NA	ERR13189858.fastq.gz	NA
OLV051	OLV051_utigOLV051   	1		SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/OLV051_utigOLV051_R1.fastq.gz	NA	NA	ERR13189860.fastq.gz	NA
OLV072	OLV072_utigOLV072   	1		SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/OLV072_utigOLV072_R1.fastq.gz	NA	NA	ERR13189868.fastq.gz	NA
