Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file	BAM_target
NOR111	NOR111_LP6005592-DNA_B01	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NOR111_LP6005592-DNA_B01_L1_R1.fastq.gz	<PATH_TO_DATA>/NOR111_LP6005592-DNA_B01_L1_R2.fastq.gz	NA	ERR1395565_1.fastq.gz	ERR1395565_2.fastq.gz	NA
NorthOssetia12	NorthOssetia12_LP6005443-DNA_E10	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NorthOssetia12_LP6005443-DNA_E10_L1_R1.fastq.gz	<PATH_TO_DATA>/NorthOssetia12_LP6005443-DNA_E10_L1_R2.fastq.gz	NA	ERR1347720_1.fastq.gz	ERR1347720_2.fastq.gz	NA
NorthOssetia5	NorthOssetia5_LP6005443-DNA_F10	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/NorthOssetia5_LP6005443-DNA_F10_L1_R1.fastq.gz	<PATH_TO_DATA>/NorthOssetia5_LP6005443-DNA_F10_L1_R2.fastq.gz	NA	ERR1347729_1.fastq.gz	ERR1347729_2.fastq.gz	NA
Peru60	Peru60_LP6005519-DNA_G02	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/Peru60_LP6005519-DNA_G02_L1_R1.fastq.gz	<PATH_TO_DATA>/Peru60_LP6005519-DNA_G02_L1_R2.fastq.gz	NA	ERR1395558_1.fastq.gz	ERR1395558_2.fastq.gz	NA
R3	R3_LP6005519-DNA_A05	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/R3_LP6005519-DNA_A05_L1_R1.fastq.gz	<PATH_TO_DATA>/R3_LP6005519-DNA_A05_L1_R2.fastq.gz	NA	ERR1395609_1.fastq.gz	ERR1395609_2.fastq.gz	NA
R6	R6_LP6005519-DNA_B05	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/R6_LP6005519-DNA_B05_L1_R1.fastq.gz	<PATH_TO_DATA>/R6_LP6005519-DNA_B05_L1_R2.fastq.gz	NA	ERR1395612_1.fastq.gz	ERR1395612_2.fastq.gz	NA
SA0342	SA0342_LP6005677-DNA_D03	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/SA0342_LP6005677-DNA_D03_L1_R1.fastq.gz	<PATH_TO_DATA>/SA0342_LP6005677-DNA_D03_L1_R2.fastq.gz	NA	ERR1395588_1.fastq.gz	ERR1395588_2.fastq.gz	NA
SA0722	SA0722_LP6005592-DNA_C05	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/SA0722_LP6005592-DNA_C05_L1_R1.fastq.gz	<PATH_TO_DATA>/SA0722_LP6005592-DNA_C05_L1_R2.fastq.gz	NA	ERR1395572_1.fastq.gz	ERR1395572_2.fastq.gz	NA
SAH31	SAH31_LP6005619-DNA_B01	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/SAH31_LP6005619-DNA_B01_L1_R1.fastq.gz	<PATH_TO_DATA>/SAH31_LP6005619-DNA_B01_L1_R2.fastq.gz	NA	ERR1395581_1.fastq.gz	ERR1395581_2.fastq.gz	NA
SAH41	SAH41_LP6005619-DNA_C01	1	4	PE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/SAH41_LP6005619-DNA_C01_L1_R1.fastq.gz	<PATH_TO_DATA>/SAH41_LP6005619-DNA_C01_L1_R2.fastq.gz	NA	ERR1395582_1.fastq.gz	ERR1395582_2.fastq.gz	NA
