Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
VK182	VK182_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK182_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059593.fastq.gz	NA
VK184	VK184_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK184_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059595.fastq.gz	NA
VK187	VK187_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK187_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059598.fastq.gz	NA
VK190	VK190_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK190_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059600.fastq.gz	NA
VK193	VK193_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK193_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059602.fastq.gz	NA
VK196	VK196_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK196_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059603.fastq.gz	NA
VK205	VK205_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK205_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059609.fastq.gz	NA
VK206	VK206_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK206_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059610.fastq.gz	NA
VK207	VK207_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK207_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059611.fastq.gz	NA
VK211	VK211_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK211_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059614.fastq.gz	NA
VK216	VK216_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK216_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059619.fastq.gz	NA
VK222	VK222_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK222_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059625.fastq.gz	NA
VK223	VK223_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK223_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059626.fastq.gz	NA
VK227	VK227_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK227_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059630.fastq.gz	NA
VK230	VK230_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK230_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059632.fastq.gz	NA
VK239	VK239_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK239_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059638.fastq.gz	NA
VK247	VK247_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK247_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059644.fastq.gz	NA
VK255	VK255_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK255_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059650.fastq.gz	NA
VK258	VK258_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK258_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059653.fastq.gz	NA
VK259	VK259_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK259_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059654.fastq.gz	NA
VK263	VK263_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK263_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059658.fastq.gz	NA
VK265	VK265_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK265_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059660.fastq.gz	NA
VK266	VK266_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK266_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059661.fastq.gz	NA
VK267	VK267_unspecified	1	4	SE	Homo sapiens (modern human)	double	none	<PATH_TO_DATA>/VK267_unspecified_L1_R1.fastq.gz	NA	NA	ERR4059662.fastq.gz	NA
